Zip File, Date, Symbol, Volume
cnsfails200907a.txt, 20090702, GME, 67
cnsfails200907a.txt, 20090706, GME, 182
cnsfails200907a.txt, 20090707, GME, 86
cnsfails200907a.txt, 20090708, GME, 106
cnsfails200907a.txt, 20090709, GME, 724
cnsfails200907a.txt, 20090710, GME, 257
cnsfails200907a.txt, 20090701, XRT, 1738
cnsfails200907a.txt, 20090702, XRT, 456
cnsfails200907a.txt, 20090706, XRT, 702736
cnsfails200907a.txt, 20090707, XRT, 36164
cnsfails200907a.txt, 20090708, XRT, 544
cnsfails200907a.txt, 20090709, XRT, 837
cnsfails200907a.txt, 20090710, XRT, 3756
cnsfails200907a.txt, 20090713, XRT, 275496
cnsfails200907a.txt, 20090714, XRT, 600102
cnsfails200907b.txt, 20090715, GME, 62
cnsfails200907b.txt, 20090716, GME, 35
cnsfails200907b.txt, 20090717, GME, 2563
cnsfails200907b.txt, 20090720, GME, 1772
cnsfails200907b.txt, 20090721, GME, 3522
cnsfails200907b.txt, 20090722, GME, 118289
cnsfails200907b.txt, 20090723, GME, 226
cnsfails200907b.txt, 20090724, GME, 155
cnsfails200907b.txt, 20090727, GME, 593
cnsfails200907b.txt, 20090728, GME, 12556
cnsfails200907b.txt, 20090729, GME, 76
cnsfails200907b.txt, 20090731, GME, 1186
cnsfails200907b.txt, 20090715, XRT, 8280
cnsfails200907b.txt, 20090716, XRT, 417077
cnsfails200907b.txt, 20090717, XRT, 1810
cnsfails200907b.txt, 20090720, XRT, 558
cnsfails200907b.txt, 20090721, XRT, 520
cnsfails200907b.txt, 20090722, XRT, 2139
cnsfails200907b.txt, 20090723, XRT, 163
cnsfails200907b.txt, 20090724, XRT, 191004
cnsfails200907b.txt, 20090727, XRT, 192057
cnsfails200907b.txt, 20090728, XRT, 2622
cnsfails200907b.txt, 20090729, XRT, 190445
cnsfails200907b.txt, 20090730, XRT, 120010
cnsfails200907b.txt, 20090731, XRT, 310968
cnsfails200908a.txt, 20090803, GME, 287
cnsfails200908a.txt, 20090804, GME, 44393
cnsfails200908a.txt, 20090805, GME, 934
cnsfails200908a.txt, 20090806, GME, 4811
cnsfails200908a.txt, 20090807, GME, 322709
